organism,scientific_name,lat,lon,year,locality,county,elev_m,gbifID,basisOfRecord,source_name,source_url
American pika,Ochotona princeps,39.582764,-105.668615,2025,,,,5230610092,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5230610092
American pika,Ochotona princeps,40.373613,-105.781662,2025,,,,5230834908,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5230834908
American pika,Ochotona princeps,39.124006,-106.437928,2025,,,,5230877459,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5230877459
American pika,Ochotona princeps,39.327325,-106.121811,2025,,,,5230971471,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5230971471
American pika,Ochotona princeps,39.658542,-105.880875,2025,,,,5231018996,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5231018996
American pika,Ochotona princeps,39.056978,-106.65124,2025,,,,5231030257,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5231030257
American pika,Ochotona princeps,40.468797,-105.751799,2025,,,,5231142135,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5231142135
American pika,Ochotona princeps,38.067132,-107.461371,2025,,,,5231142625,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5231142625
American pika,Ochotona princeps,40.437113,-105.76732,2025,,,,5231153262,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5231153262
American pika,Ochotona princeps,40.292275,-105.52165,2025,,,,5231162795,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5231162795
American pika,Ochotona princeps,37.829301,-107.800576,2025,,,,5231177331,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5231177331
American pika,Ochotona princeps,40.421514,-105.691246,2025,,,,5231314835,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5231314835
American pika,Ochotona princeps,38.826094,-106.413768,2025,,,,5231317164,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5231317164
American pika,Ochotona princeps,39.117714,-106.44532,2025,,,,5231319524,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5231319524
American pika,Ochotona princeps,39.116347,-107.047028,2025,,,,5231430743,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5231430743
American pika,Ochotona princeps,40.019675,-105.649697,2025,,,,5231431157,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5231431157
American pika,Ochotona princeps,39.946543,-105.679842,2025,,,,5231432136,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5231432136
American pika,Ochotona princeps,39.432866,-106.218257,2025,,,,5231524217,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5231524217
American pika,Ochotona princeps,40.528714,-105.667234,2025,,,,5231579274,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5231579274
American pika,Ochotona princeps,40.410084,-105.716025,2025,,,,5231624347,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5231624347
American pika,Ochotona princeps,40.103242,-105.61273,2025,,,,5231765656,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5231765656
American pika,Ochotona princeps,38.705813,-106.417908,2025,,,,5231779572,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5231779572
American pika,Ochotona princeps,38.826813,-106.41147,2025,,,,5231899109,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5231899109
American pika,Ochotona princeps,40.412705,-105.734092,2025,,,,5231918560,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5231918560
American pika,Ochotona princeps,40.483158,-105.8834,2025,,,,5237593373,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5237593373
American pika,Ochotona princeps,40.440775,-105.755052,2025,,,,5237624708,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5237624708
American pika,Ochotona princeps,39.582605,-105.668687,2025,,,,5237680611,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5237680611
American pika,Ochotona princeps,40.28939,-105.518534,2025,,,,5237716633,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5237716633
American pika,Ochotona princeps,39.946373,-105.680021,2025,,,,5237722119,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5237722119
American pika,Ochotona princeps,38.822657,-106.748845,2025,,,,5237806056,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5237806056
American pika,Ochotona princeps,40.39588,-105.713797,2025,,,,5237822368,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5237822368
American pika,Ochotona princeps,40.263958,-105.615288,2025,,,,5237832397,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5237832397
American pika,Ochotona princeps,39.557209,-106.196135,2025,,,,5237865261,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5237865261
American pika,Ochotona princeps,39.639855,-105.819347,2025,,,,5237912372,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5237912372
American pika,Ochotona princeps,39.0734,-106.9712,2025,,,,5237968267,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5237968267
American pika,Ochotona princeps,39.661202,-105.883609,2025,,,,5238037779,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5238037779
American pika,Ochotona princeps,39.388897,-106.092553,2025,,,,5238040182,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5238040182
American pika,Ochotona princeps,39.358459,-106.040657,2025,,,,5238053589,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5238053589
American pika,Ochotona princeps,39.515258,-106.109589,2025,,,,5238074718,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5238074718
American pika,Ochotona princeps,39.970688,-107.257287,2025,,,,5238081789,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5238081789
American pika,Ochotona princeps,39.654376,-105.879346,2025,,,,5238088775,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5238088775
American pika,Ochotona princeps,40.358774,-105.700064,2025,,,,5238153331,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5238153331
American pika,Ochotona princeps,37.536331,-106.800713,2025,,,,5281910593,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5281910593
American pika,Ochotona princeps,40.069128,-105.609317,2025,,,,5282038887,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5282038887
American pika,Ochotona princeps,39.661835,-105.88118,2025,,,,5282153037,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5282153037
American pika,Ochotona princeps,39.6195,-106.13169,2025,,,,5282195444,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5282195444
American pika,Ochotona princeps,39.68531,-105.926125,2025,,,,5282238262,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5282238262
American pika,Ochotona princeps,39.037286,-106.827704,2025,,,,5282281027,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5282281027
American pika,Ochotona princeps,39.662306,-105.8809,2025,,,,5282311725,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5282311725
American pika,Ochotona princeps,40.411642,-105.732828,2025,,,,5282445090,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5282445090
American pika,Ochotona princeps,40.314225,-105.677548,2025,,,,5282456980,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5282456980
American pika,Ochotona princeps,39.086433,-106.9687,2025,,,,5282457237,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5282457237
American pika,Ochotona princeps,40.412258,-105.733305,2025,,,,5282517305,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5282517305
American pika,Ochotona princeps,39.662708,-105.884106,2025,,,,5282546760,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5282546760
American pika,Ochotona princeps,40.440907,-105.754545,2025,,,,5282573666,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5282573666
American pika,Ochotona princeps,39.897258,-105.680156,2025,,,,5282583072,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5282583072
American pika,Ochotona princeps,39.661578,-105.883146,2025,,,,5282636304,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5282636304
American pika,Ochotona princeps,40.412944,-105.729003,2025,,,,5291745264,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5291745264
