site_id,organism,location_type,label,lat,lon,elev_m,year,county,notes,source_name,source_url
NWT-072,American pika,survey_plot,Niwot plot NWT-072,40.062061,-105.601881,,,Boulder,Panel: OddYrs; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-073,American pika,survey_plot,Niwot plot NWT-073,40.052888,-105.619375,,,Boulder,Panel: EvenYrs; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-074,American pika,survey_plot,Niwot plot NWT-074,40.06382,-105.606821,,,Boulder,Panel: OddYrs; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-075,American pika,survey_plot,Niwot plot NWT-075,40.045715,-105.605934,,,Boulder,Panel: OddYrs; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-076,American pika,survey_plot,Niwot plot NWT-076,40.058679,-105.590982,,,Boulder,Panel: OverSamp; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-077,American pika,survey_plot,Niwot plot NWT-077,40.056368,-105.635528,,,Boulder,Panel: OverSamp; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-078,American pika,survey_plot,Niwot plot NWT-078,40.05757,-105.610776,,,Boulder,Panel: OverSamp; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-079,American pika,survey_plot,Niwot plot NWT-079,40.054591,-105.609026,,,Boulder,Panel: OddYrs; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-080,American pika,survey_plot,Niwot plot NWT-080,40.046225,-105.586256,,,Boulder,Panel: OverSamp; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-081,American pika,survey_plot,Niwot plot NWT-081,40.066749,-105.637442,,,Boulder,Panel: OverSamp; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
